studyid,paper,acreage,methodology,provisioning,Regulation,nation,wl_policy,ecosystemservicesgoal,usepenalties,useincentives,year,agprod,pcgdp,latitude,longitude,mammals,threatened_mammals,birds,pop_density
1,Acharya (2000),350000,1,63,0,Nigeria,0,0,0,0,2000,97,2396.31,12.687655,10.576733,50,1,326,195.304703
2,Barbier (1993),73000000,1,322,0,Nigeria,0,0,0,0,2993,97,2396.31,12.590297,10.573917,52,1,332,135.6866
3,Berry et al. (2017),1.64,1,119,0,Canada,1,1,1,1,2017,98,51391.7,49.55400278,-98.83679722,50,0,185,1.514423
4,Bortolotti (2016),15550,1,0,4024,Canada,1,1,1,1,2016,98,51391.7,51.041111,-102.056111,46,0,178,0.106397
5,Colloff et al. (2016) a,6000000,0,771,432,Australia,0,0,0,1,2016,115,56842,-35.113509,139.26461,24,0,277,535.584595
6,Dadaser-Celik et al. (2009),17200,1,20,0,Turkey,1,0,0,1,2009,113,15068,38.242222,35.185556,46,0,197,98.149033
7,Degregorio et al. (2014),10,1,36058.5,0,United States,1,1,1,1,2014,118,54579,33.420415,-81.690281,50,0,166,459.541779
8,Duffy and Kahara (2011),198246,0,0,12604,United States,1,1,1,1,2011,118,54579,38.169114,-120.948486,48,0,200,49.650932
9,Gleason et al. (2011),444574,0,0,318,United States,1,1,1,1,2011,118,54579,49.45233152,-103.4218316,40,0,166,0.435943
10,Golterman (1995) a,93000,0,0,5272,France,1,1,1,1,1995,120,43663,43.538594,4.55246,59,2,206,10
10,Golterman (1995) b,,0,0,17318,United States,1,1,1,1,1995,118,54579,41.588522,-70.6438,41,1,213,32.334873
11,Grygoruk et al. (2013),8100,1,0,741,Poland,1,0,0,1,2013,122,16659,53.253128,22.698881,56,0,196,31.103519
12,Hao et al. (2012),140000,1,0,8716,China,1,1,0,1,2012,148,7752,47.5,134.16667,55,2,217,37.196835
13,Jansson et al. (1999),13800000,1,0,36,Baltic Sea nations,1,1,1,1,1999,104,57921,59.265881,20.214844,0,0,8,20
14,Jones (2011),368,1,21,0,United States,1,1,1,1,2011,118,54579,32.354668,-89.398528,48,0,173,15.206296
15,Kakuru et al (2013),29110,1,729.6575126,0,Uganda,1,1,0,1,2013,64,710,-0.7806,30.89,0,0,547,120.7
15,Kakuru et al (2013),68932,1,2086.196286,0,Uganda,1,1, ,1,2013,64,710,1.508,32.9428,0,0,500,149.58
15,Karpuzcu and Stringfellow (2012),11500,0,0,4234,United States,1,1,1,1,2012,118,54579,37.59175,-121.16156,46,0,210,5.227108
16,Kipkemboi et al. (2007),680000,0,2560,0,Kenya,0,1,1,1,2007,86,1202,-0.1829305,34.4852085,141,2,549,290.495941
17,"L. Emerton (ed), 2005,",14600,1,0.085354935,0,Cambodia,0,1,0,1,2005,181,1202,13.5383,105.9578,0,0,345,167.65
17,"L. Emerton (ed), 2005,",21000,1,28.75076191,0,Cambodia,0,1,0,1,2005,181,1202,10.5331,103.6942,0,0,351,53.38
17,"L. Emerton (ed), 2005,",187000,1,2971,0,Sri lanka,1,1,1,1,2005,128,3936,8.2419,79.9619,0,0,291,2.35
17,Leschine et al(1997),43.3,1,0,104966,United States,1,1,1,1,1997,118,54579,47.4431,-122.2655,0,0,189,6.51
17,Leschine et al(1997),76.5,1,0,29149.92,United States,1,1,1,1,1997,118,54579,47.8097,-122.2917,0,0,199,497.43
18,McCartney et al. (2011),100,1,316.4,516.2,South Africa,1,1,1,1,2011,104,7433,-24.3653999,29.9990079,113,1,464,35.423256
19,Meyerhoff,15000,1,0,340,Germany,1,1,1,1,2004,122,47477.8,52.3181,11.7511,0,0,177,30.96
19,Meyerhoff,15000,1,0,6188,Germany,1,1,1,1,2004,122,47477.8,52.7942,12.0511,0,0,169,50.17
20,Prato and Hey (2006),1052,1,1928.304183,0,United States,1,1,1,1,2006,118,54579,41.2916978,-89.3297901,44,1,166,1
21,Ramachandra et al (2005),805,1,533799.2046,0,India,1,1,0,1,2005,140,2100,13.0622,77.6144,0,0,284,3837.22
21,Ramachandra et al (2005),3750,1,5485.297303,0,India,1,1,0,1,2005,140,2100,13.0467,77.5833,0,0,284,377.95
22,Ribaudo et al. (2001),181299,1,0,974,United States,1,1,1,1,2001,118,54579,45.0025174,-93.256881,51,0,170,3648.111572
23,Roley et al. (2016),0.7,1,0,2237,United States,1,1,1,1,2016,118,54579,43.6124115,-94.9172527,46,0,153,2.256839
24,Rouquette et al. (2011) a,900,0,0,12669,United Kingdoms,0,1,0,1,2011,107,43324,53.3942038,-0.7790899,35,0,141,909.334473
24,Rouquette et al. (2011) b,1400,0,0,24929,United Kingdoms,0,1,0,1,2011,107,43324,51.3030139,-2.2418746,40,0,156,234.76152
25,Schuijt(2002),240000,1,58.3383,1.82282,Malawi,1,1,0,1,2002,106,516.7,-15.255,35.718,0,0,477,25.95
25,Schuijt(2002),350000,1,29715.45558,2379.820416,Nigeria,0,0,0,0,2002,97,2396,12.4183,10.0644,0,0,341,307.33
25,Schuijt(2002),350000,1,0.409694286,0,Nigeria,0,0,0,0,2002,97,2396,12.8372,10.4236,0,0,325,217.11
25,Schuijt(2002),529,1,17439.6216,135.7684,Uganda,1,1,0,1,2013,64,710,0.295,32.6319,0,0,97,6235.52
25,Schuijt(2002),2982900,1,839.655175,0,Mozambuque,1,1,1,1,2002,97,2396,,,,,,
25,Schuyt & Brander,13800000,1,388.0876812,587.3123188,Brazil,1,1,1,1,2004,135,11026,-17.6406,-57.435,0,0,408,0
25,Schuyt & Brander,10320,1,1.019186047,58.24001938,New Zeland,1,1,1,1,2004,107,37997,-37.3568,175.0955,0,0,139,18.39
25,Schuyt & Brander,3455,1,0,18703.88944,United States,1,1,1,1,2004,118,54579,42.3555,-71.0687,0,0,221,10164.5
26,Simonit and Perrings (2011),15200,1,0,2368.421053,Kenya,0,1,1,1,2011,86,1202,0.0930422,34.529705,154,1,583,904.775696
26,Simonit et al. (2011),137125,1,0,772,Kenya,0,1,1,1,2013,86,1202,-0.5875,34.0211,0,0,114,273.67
27,Smith et al. (2011),120000,1,0,1155,United States,1,1,1,1,2011,118,54579,37.5398233,-102.9452593,51,0,167,0.04
28,Verhoeven and Setter (2010),27000000,0,0,95,South East Asia,1,1,0,1,2010,,1888,16.0740166,104.9973511,74,6,280,42.32003
29,Wang et al. (2015),762600,1,0,621,China,1,1,0,1,2015,148,7752,46.01542,132.1458,60,2,204,9.309196
