variable,mean,sd,min,med,max,n.valid,pct.valid
acreage,2737839.065217391,6655480.392935282,0.7,93000,27000000,23,100
agProd,114.4090909090909,18.34759382410127,64,118,148,22,95.65217391304348
amphibians,12.391304347826088,9.296818275061941,0,10,40,23,100
ecosystemservicesgoal,0.9130434782608695,0.2881040655200304,0,1,1,23,100
high_income,0.6956521739130435,0.47047196889696474,0,1,1,23,100
low_income,0.08695652173913043,0.2881040655200304,0,0,1,23,100
methodology,0.5217391304347826,0.5107539184552492,0,1,1,23,100
peer_review,0.6521739130434783,0.48698475355767396,0,1,1,23,100
pop_Density,1003.0602365217392,2467.625978324338,0,42.32003,10164.5,23,100
regulation_US_ha,8711.236395360087,22357.36148486997,6e-4,336.6675068,104966,23,100
useincentives,0.9565217391304348,0.20851441405707477,0,1,1,23,100
usepenalties,0.6956521739130435,0.47047196889696474,0,1,1,23,100
wl_policy,0.782608695652174,0.42174116783664994,0,1,1,23,100
year,11.565217391304348,6.740826001156358,-1,15,20,23,100
